Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/21/2020 at 7:23:47 pm EST,Crewmate,Win,9,Yes,Yes,-,17m 56s,No,0,07m 50s,++,NA / WDZNJF
12/21/2020 at 7:03:35 pm EST,Crewmate,Win,1,No,No,-,05m 12s,No,0,-,++,NA / WDZNJF
12/21/2020 at 6:55:54 pm EST,Crewmate,Win,2,No,Yes,-,11m 43s,No,0,-,++,NA / WDZNJF
12/21/2020 at 6:42:15 pm EST,Crewmate,Win,9,Yes,Yes,-,10m 54s,No,0,06m 40s,++,NA / QWNMJF
12/21/2020 at 6:29:48 pm EST,Crewmate,Loss,5,No,No,-,18m 07s,No,0,-,---,NA / QWNMJF
12/21/2020 at 6:11:02 pm EST,Crewmate,Win,9,Yes,No,-,12m 19s,No,0,08m 32s,++,NA / QWNMJF
12/21/2020 at 5:55:54 pm EST,Crewmate,Win,0,No,Yes,-,02m 39s,No,0,-,N/A,NA / OYMFVF
12/21/2020 at 5:52:50 pm EST,Crewmate,Win,1,No,No,-,00m 22s,No,1,00m 11s,N/A,NA / OYMFVF
12/21/2020 at 5:30:41 pm EST,Crewmate,Loss,0,No,Yes,-,02m 00s,No,0,-,N/A,NA / FLDQTQ
12/21/2020 at 5:27:57 pm EST,Crewmate,Win,4,No,Yes,-,09m 20s,No,0,03m 20s,++,NA / FLDQTQ
12/21/2020 at 5:18:07 pm EST,Imposter,Win,-,-,-,3,02m 37s,No,N/A,-,N/A,NA / FLDQTQ
12/21/2020 at 5:14:26 pm EST,Crewmate,Loss,2,No,No,-,02m 00s,No,0,-,N/A,NA / WYAYFF
12/21/2020 at 3:33:19 pm EST,Crewmate,Win,1,No,No,-,04m 33s,No,2,-,N/A,NA / WFGEPQ
12/21/2020 at 3:28:11 pm EST,Crewmate,Win,4,No,No,-,04m 08s,No,0,03m 28s,N/A,NA / WFGEPQ
12/21/2020 at 3:22:56 pm EST,Crewmate,Loss,0,No,No,-,00m 15s,No,0,-,N/A,NA / WFGEPQ
12/21/2020 at 3:21:56 pm EST,Imposter,Win,-,-,-,1,01m 06s,No,N/A,-,N/A,NA / WFGEPQ
12/21/2020 at 3:12:48 pm EST,Crewmate,Loss,1,No,No,-,01m 11s,No,0,-,N/A,NA / PWCSDF
12/21/2020 at 3:10:28 pm EST,Crewmate,Loss,1,No,No,-,00m 22s,No,0,-,N/A,NA / KLJFZF
12/21/2020 at 3:01:48 pm EST,Crewmate,Win,0,No,No,-,01m 30s,No,0,-,N/A,NA / DESOJF
12/21/2020 at 2:59:57 pm EST,Crewmate,Win,0,No,No,-,01m 40s,No,0,-,N/A,NA / DESOJF
12/21/2020 at 1:55:56 pm EST,Crewmate,Win,8,No,No,-,14m 23s,No,0,-,++,NA / JFJPZF
12/21/2020 at 1:39:28 pm EST,Crewmate,Loss,6,No,Yes,-,13m 18s,No,0,-,---,NA / JFJPZF
12/21/2020 at 1:25:37 pm EST,Crewmate,Win,6,No,No,-,13m 52s,No,2,-,++,NA / JFJPZF
12/21/2020 at 1:09:14 pm EST,Crewmate,Loss,7,No,Yes,-,12m 34s,No,0,-,---,NA / JFJPZF
12/21/2020 at 12:54:36 pm EST,Crewmate,Loss,9,Yes,No,-,14m 01s,No,2,09m 11s,--,NA / JFJPZF
12/21/2020 at 12:37:05 pm EST,Crewmate,Loss,4,No,Yes,-,07m 41s,No,0,-,---,NA / JFJPZF
12/21/2020 at 12:25:28 pm EST,Crewmate,Win,9,Yes,Yes,-,13m 58s,No,0,08m 26s,++,NA / JFJPZF
12/21/2020 at 12:06:50 pm EST,Crewmate,Win,6,Yes,No,-,09m 06s,Yes,0,06m 16s,++,NA / UKEHYQ
12/20/2020 at 6:36:27 pm EST,Crewmate,Loss,2,No,Yes,-,01m 01s,No,0,-,N/A,NA / RJPINF
12/20/2020 at 6:34:26 pm EST,Imposter,Win,-,-,-,1,03m 01s,No,N/A,-,N/A,NA / RJPINF
