Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/22/2020 at 2:22:28 am EST,Crewmate,Loss,2,No,Yes,-,07m 12s,No,0,-,---,NA / NHORMF
12/22/2020 at 2:07:52 am EST,Crewmate,Win,5,No,Yes,-,13m 16s,No,0,-,++,NA / NHORMF
12/22/2020 at 1:52:42 am EST,Crewmate,Loss,2,No,No,-,06m 44s,No,0,-,---,NA / NHORMF
12/22/2020 at 1:43:27 am EST,Crewmate,Loss,3,No,Yes,-,13m 08s,No,1,-,---,NA / NHORMF
12/22/2020 at 1:28:19 am EST,Imposter,Win,-,-,-,1,06m 38s,No,N/A,-,+++,NA / NHORMF
12/21/2020 at 4:10:38 am EST,Crewmate,Loss,6,No,Yes,-,13m 20s,No,0,-,---,NA / UETNFF
12/21/2020 at 3:41:09 am EST,Crewmate,Win,3,No,No,-,14m 13s,No,1,-,++,NA / FVNGZF
12/21/2020 at 3:25:48 am EST,Crewmate,Win,7,Yes,No,-,13m 59s,No,0,11m 40s,++,NA / FVNGZF
12/21/2020 at 3:10:52 am EST,Crewmate,Loss,4,No,Yes,-,15m 01s,No,0,-,---,NA / FVNGZF
12/21/2020 at 2:54:25 am EST,Crewmate,Win,7,Yes,Yes,-,19m 43s,No,0,08m 45s,++,NA / FVNGZF
12/21/2020 at 2:32:38 am EST,Imposter,Win,-,-,-,2,09m 04s,No,N/A,-,+++,NA / FVNGZF
12/21/2020 at 2:22:19 am EST,Crewmate,Win,7,Yes,Yes,-,14m 45s,No,0,14m 44s,++,NA / FVNGZF
12/20/2020 at 1:07:15 am EST,Crewmate,Win,5,No,Yes,-,12m 35s,No,0,-,++,NA / HMUMOF
12/20/2020 at 12:51:43 am EST,Crewmate,Win,8,Yes,No,-,18m 53s,No,0,18m 20s,++,NA / HMUMOF
12/20/2020 at 12:28:02 am EST,Crewmate,Win,3,No,No,-,04m 30s,No,1,-,N/A,NA / HMUMOF
12/19/2020 at 6:44:18 am EST,Crewmate,Win,3,No,No,-,13m 47s,No,1,-,++,NA / ASJXIF
12/19/2020 at 6:29:45 am EST,Imposter,Win,-,-,-,1,07m 49s,No,N/A,-,+++,NA / ASJXIF
12/19/2020 at 6:21:04 am EST,Imposter,Win,-,-,-,3,10m 30s,No,N/A,-,+++,NA / ASJXIF
