Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/12/2020 at 11:05:45 pm EST,Crewmate,Win,7,Yes,Yes,-,17m 26s,No,0,09m 48s,++,Europe / PBLKRQ
12/12/2020 at 10:47:50 pm EST,Crewmate,Win,6,No,No,-,09m 24s,No,2,-,++,Europe / PBLKRQ
12/12/2020 at 10:37:41 pm EST,Crewmate,Loss,7,Yes,No,-,15m 35s,No,0,11m 34s,--,Europe / PBLKRQ
12/12/2020 at 10:20:37 pm EST,Imposter,Loss,-,-,-,2,23m 02s,No,N/A,-,-,Europe / PBLKRQ
12/12/2020 at 9:54:36 pm EST,Crewmate,Win,7,Yes,No,-,13m 06s,No,1,06m 13s,++,Europe / PBLKRQ
12/12/2020 at 9:35:23 pm EST,Crewmate,Win,2,No,Yes,-,20m 04s,No,0,-,++,Europe / PBLKRQ
12/12/2020 at 9:13:55 pm EST,Imposter,Win,-,-,-,2,17m 25s,No,N/A,-,+++,Europe / PBLKRQ
12/12/2020 at 8:47:47 pm EST,Crewmate,Loss,3,No,No,-,05m 07s,No,0,-,---,Europe / PBLKRQ
12/12/2020 at 8:39:42 pm EST,Crewmate,Win,7,Yes,No,-,22m 07s,No,2,15m 48s,++,Europe / PBLKRQ
12/12/2020 at 12:53:19 pm EST,Crewmate,Win,8,Yes,No,-,12m 54s,No,2,10m 14s,++,Europe / IZNRMF
12/12/2020 at 12:38:09 pm EST,Crewmate,Win,6,No,Yes,-,09m 48s,No,0,-,++,Europe / IZNRMF
12/11/2020 at 8:08:14 pm EST,Crewmate,Win,8,Yes,No,-,09m 12s,No,1,08m 53s,++,NA / OFTOOF
12/11/2020 at 7:50:34 pm EST,Crewmate,Loss,4,No,Yes,-,06m 13s,No,0,-,---,NA / OFTOOF
12/11/2020 at 7:41:09 pm EST,Crewmate,Loss,2,No,Yes,-,07m 56s,No,1,-,---,NA / OFTOOF
12/11/2020 at 7:31:56 pm EST,Crewmate,Loss,3,No,Yes,-,06m 07s,No,0,-,---,NA / OFTOOF
12/11/2020 at 7:20:40 pm EST,Crewmate,Win,4,No,No,-,09m 26s,No,1,-,++,NA / OFTOOF
12/11/2020 at 7:08:56 pm EST,Crewmate,Win,4,No,No,-,03m 48s,No,1,-,N/A,NA / OFTOOF
12/10/2020 at 11:31:46 pm EST,Crewmate,Loss,6,No,Yes,-,09m 10s,No,0,-,---,NA / EYNONF
12/10/2020 at 11:21:15 pm EST,Crewmate,Win,8,Yes,Yes,-,15m 23s,No,0,06m 30s,++,NA / EYNONF
12/10/2020 at 11:03:54 pm EST,Crewmate,Loss,1,No,Yes,-,18m 04s,No,0,-,---,NA / EYNONF
12/10/2020 at 10:41:42 pm EST,Crewmate,Win,1,No,Yes,-,18m 25s,No,0,-,++,NA / EYNONF
12/10/2020 at 10:22:10 pm EST,Crewmate,Win,7,No,Yes,-,11m 50s,No,0,-,++,NA / EYNONF
12/10/2020 at 10:08:03 pm EST,Imposter,Win,-,-,-,2,17m 03s,No,N/A,-,+++,NA / EYNONF
12/10/2020 at 7:46:18 pm EST,Crewmate,Loss,0,No,No,-,03m 51s,No,0,-,N/A,NA / EDHDFF
12/10/2020 at 7:40:43 pm EST,Crewmate,Loss,0,No,Yes,-,05m 37s,No,0,-,N/A,NA / EDHDFF
12/10/2020 at 7:31:58 pm EST,Crewmate,Loss,0,No,Yes,-,07m 09s,No,0,-,N/A,NA / EDHDFF
12/10/2020 at 7:12:55 pm EST,Crewmate,Loss,3,No,Yes,-,16m 22s,No,0,-,---,Europe / SZUNSF
12/10/2020 at 6:54:25 pm EST,Crewmate,Loss,3,No,Yes,-,08m 39s,No,0,-,---,Europe / SZUNSF
12/10/2020 at 6:33:16 pm EST,Crewmate,Win,8,Yes,Yes,-,16m 12s,No,1,10m 10s,++,Europe / HEDEZF
12/10/2020 at 6:15:20 pm EST,Crewmate,Loss,8,Yes,No,-,13m 03s,No,0,12m 26s,--,Europe / HEDEZF
12/09/2020 at 7:33:24 pm EST,Crewmate,Loss,8,Yes,Yes,-,21m 47s,No,0,06m 27s,--,Europe / JVTJWQ
12/09/2020 at 7:08:28 pm EST,Imposter,Win,-,-,-,1,24m 23s,No,N/A,-,+++,Europe / JVTJWQ
12/09/2020 at 6:36:44 pm EST,Crewmate,Loss,3,No,No,-,08m 39s,No,1,-,---,Europe / JVTJWQ
12/09/2020 at 6:26:43 pm EST,Crewmate,Win,7,No,No,-,09m 57s,No,1,-,++,Europe / JVTJWQ
12/09/2020 at 6:14:32 pm EST,Crewmate,Loss,8,Yes,Yes,-,13m 56s,No,0,08m 26s,--,Europe / JVTJWQ
