Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/17/2020 at 2:23:17 am EST,Imposter,Win,-,-,-,2,09m 23s,No,N/A,-,+++,NA / NVAFCF
12/17/2020 at 2:11:14 am EST,Crewmate,Win,8,Yes,No,-,17m 53s,No,1,09m 24s,++,NA / NVAFCF
12/17/2020 at 1:29:28 am EST,Imposter,Loss,-,-,-,1,14m 25s,No,N/A,-,--,NA / NVAFCF
12/17/2020 at 1:09:10 am EST,Crewmate,Loss,8,Yes,Yes,-,10m 49s,No,0,05m 58s,--,NA / NVAFCF
12/17/2020 at 12:55:57 am EST,Crewmate,Win,7,No,No,-,14m 33s,No,0,-,++,NA / NVAFCF
12/17/2020 at 12:36:06 am EST,Crewmate,Loss,8,Yes,No,-,11m 52s,No,0,08m 46s,--,NA / NVAFCF
12/17/2020 at 12:21:05 am EST,Crewmate,Win,8,Yes,No,-,18m 57s,No,0,08m 17s,++,NA / NVAFCF
12/17/2020 at 12:00:34 am EST,Imposter,Win,-,-,-,1,08m 24s,No,N/A,-,+++,NA / NVAFCF
12/16/2020 at 11:50:32 pm EST,Crewmate,Loss,6,No,Yes,-,11m 27s,No,0,-,---,NA / NVAFCF
12/16/2020 at 11:36:27 pm EST,Crewmate,Win,8,Yes,No,-,12m 03s,No,0,03m 27s,++,NA / NVAFCF
12/16/2020 at 10:55:28 pm EST,Imposter,Loss,-,-,-,2,12m 33s,Yes,N/A,-,-,NA / VQXHFF
12/16/2020 at 10:32:14 pm EST,Crewmate,Loss,2,No,No,-,10m 30s,No,0,-,---,NA / THXLJF
12/16/2020 at 9:25:39 pm EST,Crewmate,Loss,7,No,Yes,-,08m 15s,No,0,-,---,NA / RDVGNF
12/16/2020 at 9:10:07 pm EST,Imposter,Loss,-,-,-,4,14m 41s,No,N/A,-,-,NA / RDVGNF
12/16/2020 at 8:54:36 pm EST,Imposter,Loss,-,-,-,1,13m 44s,No,N/A,-,--,NA / RDVGNF
12/16/2020 at 8:28:50 pm EST,Imposter,Win,-,-,-,4,10m 15s,No,N/A,-,+++,NA / UZSYCF
12/16/2020 at 7:53:48 pm EST,Crewmate,Win,7,No,No,-,16m 53s,No,0,-,++,NA / BAPQFF
12/16/2020 at 5:52:43 pm EST,Crewmate,Loss,6,No,No,-,07m 41s,No,0,-,---,Europe / UPWUGF
12/16/2020 at 5:38:24 pm EST,Crewmate,Win,8,Yes,Yes,-,19m 33s,No,2,15m 37s,++,Europe / UPWUGF
12/16/2020 at 5:10:59 pm EST,Imposter,Loss,-,-,-,1,16m 16s,No,N/A,-,--,Europe / UPWUGF
12/16/2020 at 1:49:52 am EST,Crewmate,Win,8,Yes,No,-,13m 15s,No,0,09m 51s,++,NA / FFNSNF
12/16/2020 at 1:34:52 am EST,Imposter,Loss,-,-,-,4,16m 07s,No,N/A,-,-,NA / FFNSNF
12/16/2020 at 1:17:54 am EST,Imposter,Loss,-,-,-,3,16m 57s,No,N/A,-,-,NA / FFNSNF
12/16/2020 at 1:00:08 am EST,Crewmate,Win,4,No,No,-,05m 26s,No,0,-,++,NA / FFNSNF
