Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
01/04/2021 at 11:41:52 pm EST,Crewmate,Loss,2,No,Yes,-,03m 39s,No,0,-,N/A,NA / JRMRHF
01/04/2021 at 11:37:30 pm EST,Imposter,Win,-,-,-,1,08m 27s,No,N/A,-,+++,NA / JRMRHF
01/04/2021 at 11:28:21 pm EST,Crewmate,Loss,3,No,No,-,09m 35s,No,0,-,---,NA / JRMRHF
01/04/2021 at 11:17:55 pm EST,Crewmate,Win,6,No,No,-,08m 35s,No,0,-,++,NA / JRMRHF
01/04/2021 at 11:08:40 pm EST,Crewmate,Loss,10,Yes,Yes,-,19m 51s,No,0,12m 58s,--,NA / JRMRHF
01/04/2021 at 10:47:53 pm EST,Crewmate,Win,10,Yes,Yes,-,20m 34s,No,1,17m 14s,++,NA / JRMRHF
01/04/2021 at 10:26:34 pm EST,Crewmate,Win,5,No,Yes,-,08m 29s,No,1,-,++,NA / JRMRHF
01/04/2021 at 7:11:05 pm EST,Imposter,Win,-,-,-,1,03m 39s,No,N/A,-,N/A,NA / JKMIUF
12/16/2020 at 9:25:40 pm EST,Crewmate,Loss,7,No,No,-,08m 14s,No,0,-,---,NA / RDVGNF
12/16/2020 at 9:25:40 pm EST,Crewmate,Loss,7,No,No,-,08m 14s,No,0,-,---,NA / RDVGNF
12/16/2020 at 9:10:08 pm EST,Crewmate,Win,3,No,No,-,14m 41s,No,1,-,++,NA / RDVGNF
12/16/2020 at 9:10:08 pm EST,Crewmate,Win,3,No,No,-,14m 41s,No,1,-,++,NA / RDVGNF
12/16/2020 at 8:54:38 pm EST,Crewmate,Win,8,Yes,Yes,-,13m 44s,No,1,10m 25s,++,NA / RDVGNF
12/16/2020 at 8:54:37 pm EST,Crewmate,Win,8,Yes,Yes,-,13m 43s,No,1,10m 25s,++,NA / RDVGNF
12/16/2020 at 8:28:51 pm EST,Crewmate,Loss,7,No,Yes,-,10m 15s,No,1,-,---,NA / UZSYCF
12/16/2020 at 8:28:51 pm EST,Crewmate,Loss,7,No,Yes,-,10m 15s,No,1,-,---,NA / UZSYCF
12/16/2020 at 7:53:49 pm EST,Crewmate,Win,8,Yes,Yes,-,16m 53s,No,0,09m 50s,++,NA / BAPQFF
12/16/2020 at 7:53:49 pm EST,Crewmate,Win,8,Yes,Yes,-,16m 53s,No,0,09m 50s,++,NA / BAPQFF
12/16/2020 at 7:31:51 pm EST,Crewmate,Loss,6,No,No,-,07m 39s,No,0,-,---,NA / BAPQFF
12/16/2020 at 7:31:51 pm EST,Crewmate,Loss,6,No,No,-,07m 38s,No,0,-,---,NA / BAPQFF
12/16/2020 at 7:18:30 pm EST,Imposter,Win,-,-,-,2,13m 22s,No,N/A,-,+++,NA / BAPQFF
12/16/2020 at 7:18:30 pm EST,Imposter,Win,-,-,-,2,13m 22s,No,N/A,-,+++,NA / BAPQFF
12/16/2020 at 7:01:33 pm EST,Imposter,Loss,-,-,-,1,06m 15s,Yes,N/A,-,--,NA / BAPQFF
12/16/2020 at 7:01:33 pm EST,Imposter,Loss,-,-,-,1,06m 16s,Yes,N/A,-,--,NA / BAPQFF
12/16/2020 at 6:54:35 pm EST,Crewmate,Loss,6,No,Yes,-,11m 52s,No,0,-,---,NA / BAPQFF
12/16/2020 at 6:54:35 pm EST,Crewmate,Loss,6,No,Yes,-,11m 52s,No,0,-,---,NA / BAPQFF
12/16/2020 at 6:41:13 pm EST,Crewmate,Win,5,No,Yes,-,05m 09s,No,0,-,++,NA / PTOYCF
12/16/2020 at 6:41:13 pm EST,Crewmate,Win,5,No,Yes,-,05m 10s,No,0,-,++,NA / PTOYCF
12/16/2020 at 6:33:24 pm EST,Imposter,Win,-,-,-,1,12m 08s,No,N/A,-,+++,NA / PTOYCF
12/16/2020 at 6:33:24 pm EST,Imposter,Win,-,-,-,1,12m 08s,No,N/A,-,+++,NA / PTOYCF
12/16/2020 at 6:20:39 pm EST,Crewmate,Win,8,Yes,No,-,13m 10s,No,0,12m 06s,++,NA / PTOYCF
12/16/2020 at 6:20:39 pm EST,Crewmate,Win,8,Yes,No,-,13m 10s,No,0,12m 07s,++,NA / PTOYCF
12/16/2020 at 6:05:32 pm EST,Crewmate,Loss,8,Yes,Yes,-,14m 44s,No,0,07m 36s,--,NA / PTOYCF
12/16/2020 at 6:05:32 pm EST,Crewmate,Loss,8,Yes,Yes,-,14m 44s,No,0,07m 36s,--,NA / PTOYCF
12/10/2020 at 6:33:20 pm EST,Crewmate,Loss,6,No,No,-,08m 15s,Yes,1,-,---,NA / KJFASF
12/10/2020 at 6:33:20 pm EST,Crewmate,Loss,6,No,No,-,08m 15s,Yes,1,-,---,NA / KJFASF
12/10/2020 at 6:18:11 pm EST,Crewmate,Loss,5,No,Yes,-,06m 24s,No,1,-,---,NA / RQZICF
12/10/2020 at 6:18:11 pm EST,Crewmate,Loss,5,No,Yes,-,06m 24s,No,1,-,---,NA / RQZICF
12/10/2020 at 6:09:54 pm EST,Crewmate,Loss,1,No,Yes,-,02m 35s,No,0,-,N/A,NA / HSDQJF
12/10/2020 at 6:09:54 pm EST,Crewmate,Loss,1,No,Yes,-,02m 35s,No,0,-,N/A,NA / HSDQJF
12/10/2020 at 6:05:37 pm EST,Crewmate,Loss,4,No,No,-,06m 15s,No,0,-,---,NA / HSDQJF
