Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/13/2020 at 1:47:10 am EST,Imposter,Win,-,-,-,2,03m 21s,No,N/A,-,N/A,NA / SEOHXQ
12/13/2020 at 1:43:34 am EST,Crewmate,Win,1,No,No,-,03m 46s,No,0,-,N/A,NA / SEOHXQ
12/13/2020 at 1:39:23 am EST,Crewmate,Win,1,No,No,-,01m 47s,No,0,-,N/A,NA / SEOHXQ
12/13/2020 at 1:33:27 am EST,Crewmate,Loss,6,No,Yes,-,07m 10s,No,1,-,---,NA / QQULHF
12/13/2020 at 1:21:08 am EST,Crewmate,Win,7,No,No,-,19m 17s,No,0,-,++,NA / QQULHF
12/13/2020 at 12:54:11 am EST,Crewmate,Win,8,Yes,No,-,11m 21s,No,1,11m 20s,++,NA / QQULHF
12/13/2020 at 12:37:01 am EST,Crewmate,Loss,4,No,No,-,02m 28s,No,1,-,N/A,NA / QQULHF
12/13/2020 at 12:27:18 am EST,Imposter,Loss,-,-,-,3,13m 28s,No,N/A,-,-,NA / QQULHF
12/13/2020 at 12:09:13 am EST,Crewmate,Loss,8,Yes,Yes,-,16m 28s,No,0,10m 52s,--,NA / QQULHF
12/12/2020 at 11:40:30 pm EST,Crewmate,Loss,8,Yes,Yes,-,12m 29s,No,1,11m 28s,--,NA / WFUYNF
12/12/2020 at 11:19:19 pm EST,Crewmate,Loss,3,No,No,-,12m 07s,Yes,0,-,---,NA / WFUYNF
12/12/2020 at 11:00:42 pm EST,Crewmate,Win,4,No,No,-,17m 31s,Yes,0,-,++,NA / WFUYNF
12/12/2020 at 5:52:26 pm EST,Crewmate,Win,4,No,No,-,09m 40s,No,1,-,++,NA / WFUYNF
12/12/2020 at 5:35:35 pm EST,Crewmate,Loss,3,No,Yes,-,13m 33s,No,3,-,---,NA / WFUYNF
12/12/2020 at 5:16:15 pm EST,Imposter,Win,-,-,-,2,14m 34s,No,N/A,-,+++,NA / WFUYNF
12/12/2020 at 4:52:31 pm EST,Crewmate,Win,6,No,Yes,-,18m 00s,No,0,-,++,NA / WFUYNF
12/12/2020 at 4:29:15 pm EST,Crewmate,Win,8,Yes,Yes,-,11m 53s,No,0,11m 46s,++,NA / WFUYNF
12/12/2020 at 4:08:33 pm EST,Crewmate,Win,8,Yes,Yes,-,15m 44s,No,0,15m 41s,++,NA / WFUYNF
12/12/2020 at 3:45:29 pm EST,Imposter,Loss,-,-,-,1,06m 07s,Yes,N/A,-,--,NA / WFUYNF
12/12/2020 at 3:33:39 pm EST,Crewmate,Win,4,No,No,-,12m 04s,No,0,-,++,NA / WFUYNF
12/12/2020 at 3:03:33 pm EST,Imposter,Loss,-,-,-,3,13m 11s,Yes,N/A,-,-,NA / WFUYNF
12/12/2020 at 2:44:29 pm EST,Imposter,Win,-,-,-,3,13m 42s,No,N/A,-,+++,NA / WFUYNF
12/12/2020 at 2:25:15 pm EST,Crewmate,Loss,3,No,Yes,-,10m 26s,No,0,-,---,NA / WFUYNF
12/12/2020 at 2:09:55 pm EST,Crewmate,Loss,5,No,Yes,-,17m 41s,No,1,-,---,NA / WFUYNF
12/12/2020 at 1:50:29 pm EST,Crewmate,Loss,5,No,Yes,-,09m 18s,No,1,-,---,NA / WFUYNF
12/12/2020 at 1:38:57 pm EST,Crewmate,Win,1,No,No,-,04m 35s,No,0,-,N/A,NA / WFUYNF
12/12/2020 at 1:27:42 pm EST,Crewmate,Win,1,No,No,-,07m 20s,No,1,-,++,NA / WFUYNF
12/12/2020 at 12:43:49 am EST,Crewmate,Loss,6,Yes,No,-,16m 52s,No,0,09m 33s,--,NA / IMYXDF
12/12/2020 at 12:24:06 am EST,Imposter,Win,-,-,-,3,09m 46s,No,N/A,-,+++,NA / IMYXDF
12/12/2020 at 12:11:49 am EST,Crewmate,Win,6,Yes,No,-,11m 26s,No,0,05m 33s,++,NA / IMYXDF
