Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/29/2020 at 10:25:41 pm EST,Crewmate,Loss,8,Yes,Yes,-,17m 23s,No,0,10m 58s,--,NA / SRKQNF
12/29/2020 at 10:07:12 pm EST,Crewmate,Win,8,Yes,No,-,17m 05s,No,1,13m 35s,++,NA / SRKQNF
12/29/2020 at 9:47:27 pm EST,Crewmate,Loss,3,No,No,-,09m 16s,No,0,-,---,NA / SRKQNF
12/29/2020 at 9:36:52 pm EST,Crewmate,Win,8,Yes,No,-,12m 15s,No,0,10m 02s,++,NA / SRKQNF
12/29/2020 at 9:20:03 pm EST,Imposter,Win,-,-,-,2,07m 45s,No,N/A,-,+++,NA / SRKQNF
12/29/2020 at 9:10:26 pm EST,Crewmate,Loss,7,No,Yes,-,18m 29s,No,0,-,---,NA / SRKQNF
12/29/2020 at 8:50:08 pm EST,Crewmate,Win,8,Yes,No,-,10m 35s,Yes,0,08m 00s,++,NA / SRKQNF
12/29/2020 at 8:36:29 pm EST,Crewmate,Win,8,Yes,No,-,13m 56s,No,1,08m 37s,++,NA / HUYDCF
12/29/2020 at 8:20:08 pm EST,Imposter,Loss,-,-,-,1,04m 50s,Yes,N/A,-,N/A,NA / HUYDCF
12/29/2020 at 8:14:05 pm EST,Crewmate,Win,8,Yes,No,-,12m 37s,No,2,10m 41s,++,NA / HUYDCF
12/29/2020 at 7:58:07 pm EST,Crewmate,Win,7,Yes,No,-,12m 54s,No,2,06m 01s,++,NA / NJCRNF
12/29/2020 at 7:43:42 pm EST,Imposter,Win,-,-,-,1,08m 08s,No,N/A,-,+++,NA / NJCRNF
12/29/2020 at 7:34:20 pm EST,Crewmate,Loss,4,No,No,-,09m 30s,No,3,-,---,NA / NJCRNF
12/28/2020 at 1:35:57 am EST,Imposter,Win,-,-,-,2,11m 58s,No,N/A,-,+++,NA / TWGUMF
12/28/2020 at 1:16:44 am EST,Crewmate,Win,7,Yes,No,-,24m 10s,No,1,05m 32s,++,NA / TWGUMF
12/28/2020 at 12:45:43 am EST,Imposter,Loss,-,-,-,1,15m 20s,Yes,N/A,-,--,NA / TWGUMF
12/28/2020 at 12:27:19 am EST,Crewmate,Win,2,No,Yes,-,05m 40s,No,0,-,++,NA / YWLCGF
12/28/2020 at 12:14:02 am EST,Crewmate,Win,4,No,No,-,07m 07s,No,0,-,++,NA / LHNSFF
12/28/2020 at 12:00:11 am EST,Crewmate,Win,4,No,Yes,-,05m 00s,No,0,-,++,NA / LHNSFF
12/27/2020 at 11:49:19 pm EST,Crewmate,Win,7,Yes,Yes,-,24m 31s,No,1,16m 01s,++,NA / LHNSFF
12/26/2020 at 3:11:39 am EST,Crewmate,Win,7,Yes,Yes,-,16m 27s,No,2,15m 20s,++,NA / KTSMSF
12/26/2020 at 2:53:51 am EST,Crewmate,Win,6,No,No,-,07m 00s,No,0,-,++,NA / KTSMSF
12/26/2020 at 2:45:00 am EST,Crewmate,Loss,7,Yes,Yes,-,14m 26s,No,0,06m 15s,--,NA / KTSMSF
11/29/2020 at 10:42:07 pm EST,Crewmate,Win,8,Yes,Yes,-,12m 15s,No,0,07m 23s,++,NA / LLNYBF
11/29/2020 at 10:17:28 pm EST,Crewmate,Win,8,Yes,Yes,-,13m 28s,No,0,10m 41s,++,NA / MSVQUF
11/29/2020 at 9:58:54 pm EST,Imposter,Win,-,-,-,2,07m 50s,No,N/A,-,+++,NA / MSVQUF
11/29/2020 at 9:50:15 pm EST,Crewmate,Loss,8,Yes,Yes,-,12m 01s,No,0,08m 36s,--,NA / MSVQUF
11/29/2020 at 9:36:53 pm EST,Crewmate,Loss,7,No,No,-,06m 09s,No,0,-,---,NA / MSVQUF
11/29/2020 at 9:24:19 pm EST,Crewmate,Loss,6,No,Yes,-,10m 36s,No,0,-,---,NA / MSVQUF
11/29/2020 at 9:11:11 pm EST,Imposter,Win,-,-,-,1,16m 14s,No,N/A,-,+++,NA / MSVQUF
11/29/2020 at 8:50:39 pm EST,Crewmate,Win,8,Yes,No,-,17m 29s,No,0,16m 22s,++,NA / MSVQUF
11/29/2020 at 8:27:21 pm EST,Crewmate,Win,8,Yes,Yes,-,13m 32s,No,2,10m 28s,++,NA / MSVQUF
11/29/2020 at 8:12:06 pm EST,Crewmate,Loss,8,Yes,No,-,18m 01s,No,0,13m 36s,--,NA / MSVQUF
11/29/2020 at 7:51:54 pm EST,Crewmate,Loss,8,Yes,Yes,-,10m 29s,No,2,09m 15s,--,NA / MSVQUF
11/29/2020 at 7:39:03 pm EST,Crewmate,Win,8,Yes,No,-,09m 28s,No,0,07m 43s,++,NA / MSVQUF
11/29/2020 at 7:28:50 pm EST,Crewmate,Win,4,No,No,-,05m 53s,No,0,-,++,NA / MSVQUF
11/29/2020 at 7:14:29 pm EST,Crewmate,Loss,5,Yes,No,-,09m 05s,No,0,03m 54s,--,Europe / PSHLQQ
