Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/29/2020 at 4:37:49 pm EST,Crewmate,Loss,8,No,Yes,-,09m 35s,No,2,-,---,NA / MHTFVF
12/29/2020 at 4:27:48 pm EST,Crewmate,Win,9,Yes,Yes,-,09m 16s,No,0,04m 52s,++,NA / MHTFVF
12/29/2020 at 4:02:18 pm EST,Crewmate,Loss,9,Yes,Yes,-,05m 22s,No,1,05m 18s,--,NA / TFDQUF
12/28/2020 at 3:39:07 pm EST,Crewmate,Loss,8,Yes,Yes,-,02m 42s,No,0,02m 34s,N/A,NA / DKCVDF
12/28/2020 at 3:34:18 pm EST,Crewmate,Win,0,No,No,-,01m 19s,No,0,-,N/A,NA / DKCVDF
12/28/2020 at 3:32:45 pm EST,Crewmate,Win,0,No,No,-,00m 49s,No,0,-,N/A,NA / DKCVDF
12/28/2020 at 3:31:26 pm EST,Crewmate,Win,8,Yes,No,-,10m 09s,No,1,06m 34s,++,NA / DKCVDF
12/28/2020 at 3:20:47 pm EST,Crewmate,Win,2,No,Yes,-,02m 59s,No,0,-,N/A,NA / DKCVDF
12/28/2020 at 3:12:55 pm EST,Crewmate,Loss,9,Yes,Yes,-,11m 14s,No,0,04m 30s,--,NA / XRMMVF
12/28/2020 at 3:00:36 pm EST,Crewmate,Loss,7,No,No,-,06m 57s,No,0,-,---,NA / XRMMVF
12/28/2020 at 2:49:48 pm EST,Crewmate,Win,9,Yes,Yes,-,06m 36s,No,0,04m 08s,++,NA / XRMMVF
12/23/2020 at 12:24:39 pm EST,Imposter,Win,-,-,-,2,06m 18s,No,N/A,-,+++,NA / IJDWIF
12/23/2020 at 12:13:38 pm EST,Crewmate,Loss,8,Yes,Yes,-,10m 45s,No,2,09m 41s,--,NA / DWOLJF
12/23/2020 at 12:01:30 pm EST,Crewmate,Win,4,No,Yes,-,04m 57s,No,0,-,N/A,NA / DWOLJF
12/23/2020 at 11:53:46 am EST,Crewmate,Win,6,Yes,Yes,-,08m 14s,No,0,04m 42s,++,NA / DWOLJF
12/21/2020 at 12:22:33 pm EST,Crewmate,Win,9,Yes,No,-,12m 05s,No,0,08m 00s,++,NA / UIGAKF
12/21/2020 at 12:09:37 pm EST,Imposter,Loss,-,-,-,3,10m 35s,Yes,N/A,-,-,NA / UIGAKF
12/21/2020 at 11:57:24 am EST,Crewmate,Loss,7,No,Yes,-,07m 11s,No,0,-,---,NA / UIGAKF
12/21/2020 at 11:49:07 am EST,Imposter,Win,-,-,-,4,12m 37s,No,N/A,-,+++,NA / UIGAKF
12/21/2020 at 11:33:27 am EST,Crewmate,Win,9,Yes,No,-,13m 15s,No,0,09m 48s,++,NA / UIGAKF
12/16/2020 at 1:18:05 pm EST,Imposter,Win,-,-,-,6,03m 54s,No,N/A,-,N/A,NA / JRBNTQ
12/16/2020 at 1:13:14 pm EST,Imposter,Win,-,-,-,6,03m 47s,No,N/A,-,N/A,NA / JRBNTQ
12/16/2020 at 1:08:13 pm EST,Crewmate,Loss,9,Yes,Yes,-,03m 57s,No,0,02m 33s,N/A,NA / JRBNTQ
12/16/2020 at 1:00:35 pm EST,Crewmate,Win,8,Yes,No,-,06m 16s,No,0,02m 54s,++,NA / VENGYQ
12/15/2020 at 4:24:00 pm EST,Crewmate,Win,8,Yes,Yes,-,22m 58s,No,0,07m 23s,++,NA / PWJDHF
12/15/2020 at 3:59:49 pm EST,Crewmate,Win,8,Yes,No,-,07m 35s,No,0,05m 50s,++,NA / PWJDHF
12/15/2020 at 3:51:03 pm EST,Crewmate,Win,8,Yes,Yes,-,05m 12s,No,0,02m 55s,++,NA / PWJDHF
12/15/2020 at 3:44:08 pm EST,Imposter,Loss,-,-,-,2,11m 57s,No,N/A,-,-,NA / PWJDHF
12/15/2020 at 3:31:05 pm EST,Imposter,Loss,-,-,-,1,06m 23s,No,N/A,-,--,NA / PWJDHF
12/15/2020 at 3:22:13 pm EST,Crewmate,Loss,5,No,No,-,07m 29s,No,1,-,---,NA / PWJDHF
12/15/2020 at 3:13:25 pm EST,Crewmate,Loss,9,Yes,No,-,09m 33s,No,0,07m 07s,--,NA / PWJDHF
12/15/2020 at 3:03:14 pm EST,Crewmate,Win,4,No,Yes,-,08m 41s,No,1,-,++,NA / PWJDHF
12/15/2020 at 2:52:29 pm EST,Crewmate,Win,1,No,Yes,-,03m 29s,No,1,-,N/A,NA / PWJDHF
12/15/2020 at 2:44:42 pm EST,Crewmate,Loss,8,Yes,Yes,-,12m 05s,No,0,07m 26s,--,NA / PWJDHF
12/15/2020 at 1:24:11 pm EST,Crewmate,Win,8,Yes,No,-,06m 58s,No,0,04m 16s,++,NA / PVQNHF
12/15/2020 at 1:12:37 pm EST,Crewmate,Win,4,No,No,-,03m 47s,No,0,-,N/A,NA / PVQNHF
12/15/2020 at 1:07:23 pm EST,Crewmate,Win,7,No,No,-,05m 03s,No,0,-,++,NA / PVQNHF
12/15/2020 at 12:58:37 pm EST,Crewmate,Win,5,No,Yes,-,07m 46s,No,0,-,++,NA / PVQNHF
