Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/31/2020 at 4:40:56 pm EST,Crewmate,Loss,4,No,Yes,-,15m 02s,No,1,-,---,NA / DQJXIF
12/31/2020 at 4:24:44 pm EST,Crewmate,Win,8,Yes,Yes,-,20m 17s,No,1,05m 14s,++,NA / DQJXIF
12/31/2020 at 4:01:32 pm EST,Imposter,Win,-,-,-,2,12m 21s,Yes,N/A,-,+++,NA / JHRKDF
12/31/2020 at 3:46:07 pm EST,Crewmate,Loss,1,No,No,-,04m 53s,Yes,0,-,N/A,NA / JHRKDF
12/31/2020 at 3:37:39 pm EST,Crewmate,Win,5,No,Yes,-,14m 29s,No,2,-,++,NA / JHRKDF
12/31/2020 at 3:22:13 pm EST,Crewmate,Win,3,No,No,-,16m 16s,No,1,-,++,NA / JHRKDF
12/31/2020 at 2:57:33 pm EST,Crewmate,Loss,4,No,Yes,-,08m 59s,No,1,-,---,NA / TOKSFF
12/31/2020 at 2:40:22 pm EST,Imposter,Win,-,-,-,2,03m 09s,No,N/A,-,N/A,NA / FKVQHF
12/30/2020 at 1:24:08 pm EST,Imposter,Win,-,-,-,3,08m 40s,No,N/A,-,+++,NA / UCYXDF
12/30/2020 at 1:14:41 pm EST,Crewmate,Win,6,No,No,-,07m 06s,No,0,-,++,NA / UCYXDF
12/30/2020 at 1:03:16 pm EST,Crewmate,Win,8,Yes,No,-,13m 13s,No,2,11m 20s,++,NA / UCYXDF
12/29/2020 at 9:03:14 pm EST,Imposter,Win,-,-,-,0,01m 13s,No,N/A,-,N/A,NA / LEOTHF
12/29/2020 at 8:59:42 pm EST,Crewmate,Loss,0,No,No,-,08m 46s,No,1,-,N/A,NA / LEOTHF
12/29/2020 at 8:48:28 pm EST,Crewmate,Win,2,No,No,-,11m 33s,No,0,-,++,NA / LEOTHF
12/29/2020 at 8:36:14 pm EST,Imposter,Loss,-,-,-,1,06m 54s,Yes,N/A,-,--,NA / LEOTHF
12/29/2020 at 8:27:24 pm EST,Crewmate,Win,5,No,No,-,13m 56s,No,1,-,++,NA / LEOTHF
12/29/2020 at 8:10:45 pm EST,Crewmate,Win,3,No,No,-,07m 42s,No,0,-,++,NA / LEOTHF
12/29/2020 at 8:00:54 pm EST,Crewmate,Loss,2,No,No,-,09m 23s,Yes,0,-,---,NA / LEOTHF
12/29/2020 at 7:50:23 pm EST,Crewmate,Loss,4,No,Yes,-,10m 50s,No,0,-,---,NA / LEOTHF
12/29/2020 at 7:38:05 pm EST,Imposter,Loss,-,-,-,2,05m 11s,Yes,N/A,-,-,NA / MSRQUF
12/29/2020 at 7:31:19 pm EST,Crewmate,Win,4,No,No,-,07m 21s,Yes,1,-,++,NA / MSRQUF
12/29/2020 at 7:21:37 pm EST,Crewmate,Win,6,No,No,-,14m 40s,No,0,-,++,NA / MSRQUF
12/29/2020 at 7:05:19 pm EST,Imposter,Loss,-,-,-,2,14m 28s,Yes,N/A,-,-,NA / MSRQUF
12/28/2020 at 3:30:25 pm EST,Crewmate,Win,6,Yes,No,-,08m 56s,No,0,08m 20s,++,NA / EXZKIF
12/28/2020 at 3:17:12 pm EST,Imposter,Win,-,-,-,0,04m 48s,No,N/A,-,N/A,NA / EXZKIF
12/28/2020 at 3:10:23 pm EST,Crewmate,Win,1,No,Yes,-,12m 44s,No,0,-,++,NA / EXZKIF
12/28/2020 at 2:55:06 pm EST,Crewmate,Win,3,No,No,-,15m 42s,No,1,-,++,NA / EXZKIF
12/28/2020 at 2:33:27 pm EST,Crewmate,Loss,4,No,Yes,-,09m 23s,No,1,-,---,NA / EXZKIF
12/28/2020 at 2:19:45 pm EST,Crewmate,Win,7,Yes,Yes,-,11m 38s,No,0,08m 23s,++,NA / SSHIHF
12/28/2020 at 2:07:02 pm EST,Crewmate,Win,7,Yes,No,-,14m 21s,No,1,06m 52s,++,NA / SSHIHF
12/28/2020 at 1:52:15 pm EST,Imposter,Win,-,-,-,3,13m 10s,No,N/A,-,+++,NA / SSHIHF
12/28/2020 at 1:35:04 pm EST,Imposter,Loss,-,-,-,2,14m 12s,No,N/A,-,-,NA / DDOWOF
12/28/2020 at 1:19:49 pm EST,Imposter,Win,-,-,-,2,10m 06s,No,N/A,-,+++,NA / DDOWOF
