Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/17/2020 at 10:10:47 pm EST,Crewmate,Win,3,No,No,-,03m 58s,No,0,-,N/A,NA / SVQVUF
12/17/2020 at 6:56:51 pm EST,Crewmate,Loss,7,Yes,No,-,15m 06s,No,1,11m 20s,--,NA / SXJLBF
12/17/2020 at 6:40:21 pm EST,Imposter,Win,-,-,-,3,11m 37s,No,N/A,-,+++,NA / SXJLBF
12/17/2020 at 6:26:53 pm EST,Imposter,Win,-,-,-,3,09m 48s,No,N/A,-,+++,NA / SXJLBF
12/17/2020 at 6:14:28 pm EST,Imposter,Win,-,-,-,2,08m 31s,No,N/A,-,+++,NA / SXJLBF
12/17/2020 at 6:04:53 pm EST,Imposter,Loss,-,-,-,2,16m 03s,No,N/A,-,-,NA / SXJLBF
12/17/2020 at 5:46:13 pm EST,Crewmate,Loss,3,No,Yes,-,10m 26s,No,0,-,---,NA / SXJLBF
12/17/2020 at 5:32:01 pm EST,Crewmate,Win,5,No,Yes,-,07m 23s,No,0,-,++,NA / LKPTIF
12/16/2020 at 5:52:42 pm EST,Crewmate,Loss,4,No,Yes,-,07m 41s,No,0,-,---,Europe / UPWUGF
12/16/2020 at 5:38:24 pm EST,Crewmate,Win,5,No,No,-,19m 33s,No,1,-,++,Europe / UPWUGF
12/16/2020 at 4:44:14 pm EST,Imposter,Loss,-,-,-,2,05m 26s,No,N/A,-,-,NA / FFLMTQ
12/16/2020 at 4:38:10 pm EST,Crewmate,Win,1,No,No,-,03m 16s,No,0,-,N/A,NA / TGOHXQ
12/16/2020 at 4:34:06 pm EST,Crewmate,Loss,1,No,No,-,02m 58s,Yes,0,-,N/A,NA / TGOHXQ
12/16/2020 at 4:30:28 pm EST,Imposter,Win,-,-,-,1,01m 53s,No,N/A,-,N/A,NA / TGOHXQ
12/16/2020 at 4:28:12 pm EST,Crewmate,Win,3,No,No,-,04m 00s,No,0,-,N/A,NA / TGOHXQ
12/16/2020 at 3:33:02 pm EST,Imposter,Win,-,-,-,2,02m 29s,No,N/A,-,N/A,NA / UDMKOF
12/16/2020 at 3:23:32 pm EST,Imposter,Win,-,-,-,5,05m 43s,No,N/A,-,+++,NA / LBBXRQ
12/15/2020 at 9:11:35 pm EST,Crewmate,Loss,6,No,Yes,-,08m 14s,No,0,-,---,NA / OSXPUF
12/15/2020 at 9:01:14 pm EST,Crewmate,Loss,5,No,Yes,-,07m 19s,No,0,-,---,NA / OSXPUF
12/15/2020 at 6:15:20 pm EST,Imposter,Win,-,-,-,3,15m 24s,No,N/A,-,+++,NA / AWYBXQ
12/15/2020 at 5:58:46 pm EST,Crewmate,Win,5,No,Yes,-,11m 32s,No,0,-,++,NA / AWYBXQ
12/15/2020 at 5:44:07 pm EST,Crewmate,Win,4,No,No,-,13m 25s,No,0,-,++,NA / AWYBXQ
12/15/2020 at 5:28:30 pm EST,Crewmate,Win,2,No,No,-,02m 49s,No,0,-,N/A,NA / IUFFVF
12/15/2020 at 5:24:47 pm EST,Imposter,Win,-,-,-,4,19m 44s,No,N/A,-,+++,NA / IUFFVF
12/15/2020 at 4:58:44 pm EST,Crewmate,Win,6,Yes,No,-,07m 30s,No,0,05m 18s,++,Europe / GCUSNF
12/15/2020 at 4:50:02 pm EST,Crewmate,Loss,4,No,Yes,-,08m 08s,No,1,-,---,Europe / URMEFF
12/15/2020 at 4:40:34 pm EST,Crewmate,Loss,7,Yes,Yes,-,09m 42s,No,0,04m 44s,--,Europe / RNADGF
12/15/2020 at 9:30:04 am EST,Imposter,Loss,-,-,-,2,09m 59s,No,N/A,-,-,Europe / RIZQCF
12/15/2020 at 9:18:37 am EST,Crewmate,Win,7,Yes,Yes,-,14m 17s,No,0,06m 45s,++,Europe / RIZQCF
12/15/2020 at 8:52:40 am EST,Crewmate,Win,0,No,No,-,03m 13s,No,0,-,N/A,Europe / UFIBDF
