Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/22/2020 at 7:51:30 pm EST,Crewmate,Win,6,No,No,-,12m 12s,No,1,-,++,Europe / NMCIQQ
12/22/2020 at 7:37:05 pm EST,Crewmate,Loss,1,No,No,-,05m 11s,No,0,-,---,Europe / NMCIQQ
12/22/2020 at 7:26:57 pm EST,Imposter,Loss,-,-,-,3,14m 13s,No,N/A,-,-,Europe / NMCIQQ
12/22/2020 at 7:08:31 pm EST,Crewmate,Win,1,No,No,-,05m 18s,No,0,-,++,Europe / NMCIQQ
12/22/2020 at 6:59:46 pm EST,Crewmate,Win,2,No,No,-,15m 08s,No,1,-,++,Europe / NMCIQQ
12/22/2020 at 6:38:40 pm EST,Imposter,Win,-,-,-,5,12m 09s,No,N/A,-,+++,Europe / NMCIQQ
12/22/2020 at 6:21:28 pm EST,Crewmate,Loss,5,No,Yes,-,09m 31s,No,1,-,---,Europe / NMCIQQ
12/21/2020 at 7:09:13 pm EST,Crewmate,Loss,3,No,No,-,08m 49s,No,0,-,---,NA / VQOBCF
12/21/2020 at 6:59:05 pm EST,Crewmate,Loss,5,No,Yes,-,09m 12s,No,1,-,---,NA / VQOBCF
12/21/2020 at 6:48:52 pm EST,Crewmate,Loss,3,No,No,-,08m 25s,No,0,-,---,NA / VQOBCF
12/21/2020 at 6:38:42 pm EST,Crewmate,Loss,8,Yes,No,-,09m 19s,No,0,07m 11s,--,NA / VQOBCF
12/21/2020 at 6:28:03 pm EST,Crewmate,Loss,8,Yes,Yes,-,11m 21s,No,0,11m 11s,--,NA / VQOBCF
12/21/2020 at 6:15:31 pm EST,Crewmate,Win,1,No,No,-,04m 40s,No,0,-,N/A,NA / VQOBCF
12/19/2020 at 2:04:21 pm EST,Crewmate,Loss,5,No,No,-,08m 55s,No,2,-,---,Europe / ZVBKBF
12/19/2020 at 1:55:02 pm EST,Crewmate,Loss,2,No,Yes,-,12m 51s,No,0,-,---,Europe / ZVBKBF
12/19/2020 at 1:41:21 pm EST,Crewmate,Win,3,No,Yes,-,13m 47s,No,0,-,++,Europe / ZVBKBF
12/19/2020 at 1:26:24 pm EST,Crewmate,Win,1,No,Yes,-,04m 28s,No,1,-,N/A,Europe / ZVBKBF
12/19/2020 at 1:21:19 pm EST,Imposter,Loss,-,-,-,1,09m 35s,No,N/A,-,--,Europe / ZVBKBF
12/19/2020 at 1:09:32 pm EST,Crewmate,Loss,7,No,Yes,-,11m 00s,No,0,-,---,Europe / ZVBKBF
12/19/2020 at 12:44:53 pm EST,Crewmate,Loss,3,No,Yes,-,13m 16s,No,0,-,---,Europe / OFKISF
12/19/2020 at 12:27:54 pm EST,Crewmate,Loss,0,No,Yes,-,03m 58s,No,0,-,N/A,Europe / OFKISF
12/19/2020 at 12:09:31 pm EST,Crewmate,Loss,3,No,Yes,-,06m 24s,No,2,-,---,Europe / TVGLHF
12/19/2020 at 12:02:04 pm EST,Crewmate,Loss,8,Yes,No,-,11m 08s,No,0,10m 00s,--,Europe / TVGLHF
12/19/2020 at 11:50:08 am EST,Crewmate,Win,5,No,No,-,07m 39s,No,0,-,++,Europe / TVGLHF
12/19/2020 at 11:38:03 am EST,Crewmate,Loss,2,No,Yes,-,08m 26s,No,0,-,---,Europe / PKUOZF
12/18/2020 at 7:23:22 pm EST,Crewmate,Loss,0,No,Yes,-,03m 43s,No,0,-,N/A,NA / SWLMJF
12/18/2020 at 7:07:37 pm EST,Crewmate,Win,4,No,Yes,-,05m 29s,No,1,-,++,Europe / ZFCTGF
12/18/2020 at 6:58:22 pm EST,Imposter,Loss,-,-,-,1,11m 03s,No,N/A,-,--,Europe / ZFCTGF
12/18/2020 at 6:41:57 pm EST,Imposter,Loss,-,-,-,1,11m 02s,No,N/A,-,--,Europe / ZFCTGF
12/18/2020 at 6:27:13 pm EST,Crewmate,Loss,2,No,No,-,05m 48s,No,1,-,---,Europe / ZFCTGF
12/18/2020 at 6:16:29 pm EST,Crewmate,Loss,7,No,Yes,-,06m 32s,No,0,-,---,Europe / ZFCTGF
12/18/2020 at 4:07:51 pm EST,Crewmate,Win,8,Yes,No,-,21m 56s,No,0,11m 18s,++,Europe / OEAIBF
12/18/2020 at 3:44:45 pm EST,Crewmate,Win,6,No,No,-,15m 43s,No,1,-,++,Europe / OEAIBF
12/18/2020 at 3:27:37 pm EST,Crewmate,Win,8,Yes,Yes,-,22m 34s,No,0,22m 20s,++,Europe / OEAIBF
12/18/2020 at 3:02:07 pm EST,Crewmate,Win,4,No,No,-,15m 51s,No,1,-,++,Europe / OEAIBF
12/18/2020 at 2:44:19 pm EST,Crewmate,Loss,5,No,No,-,09m 55s,No,2,-,---,Europe / OEAIBF
12/18/2020 at 2:29:44 pm EST,Crewmate,Win,2,No,No,-,15m 21s,No,0,-,++,Europe / OEAIBF
12/18/2020 at 2:12:00 pm EST,Imposter,Loss,-,-,-,1,04m 55s,No,N/A,-,N/A,Europe / OEAIBF
12/18/2020 at 2:05:51 pm EST,Crewmate,Loss,5,No,Yes,-,13m 41s,No,0,-,---,Europe / OEAIBF
12/18/2020 at 1:45:57 pm EST,Imposter,Loss,-,-,-,2,16m 29s,No,N/A,-,-,Europe / OEAIBF
12/18/2020 at 1:20:32 pm EST,Crewmate,Loss,8,Yes,Yes,-,16m 57s,No,0,15m 32s,--,NA / DYSEIF
12/18/2020 at 1:02:26 pm EST,Crewmate,Loss,2,No,No,-,13m 21s,Yes,1,-,---,NA / DYSEIF
12/18/2020 at 12:48:45 pm EST,Crewmate,Win,4,No,Yes,-,07m 19s,No,0,-,++,NA / DYSEIF
12/18/2020 at 12:35:27 pm EST,Imposter,Loss,-,-,-,2,07m 06s,Yes,N/A,-,-,NA / DYSEIF
