Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/13/2020 at 9:39:16 pm EST,Crewmate,Win,3,No,No,-,05m 10s,No,0,-,++,NA / BZCDRQ
12/13/2020 at 4:46:26 pm EST,Crewmate,Win,2,No,Yes,-,08m 11s,No,0,-,++,NA / GTJRIF
12/13/2020 at 4:33:55 pm EST,Crewmate,Loss,7,Yes,Yes,-,11m 04s,No,0,06m 32s,--,NA / GTJRIF
12/13/2020 at 4:20:16 pm EST,Imposter,Loss,-,-,-,2,05m 36s,No,N/A,-,-,NA / GTJRIF
12/13/2020 at 4:11:30 pm EST,Crewmate,Loss,7,Yes,Yes,-,13m 46s,No,1,05m 46s,--,NA / GTJRIF
12/13/2020 at 3:55:27 pm EST,Crewmate,Loss,7,Yes,Yes,-,09m 56s,No,0,06m 29s,--,NA / GTJRIF
12/13/2020 at 3:44:47 pm EST,Imposter,Loss,-,-,-,3,15m 04s,No,N/A,-,-,NA / GTJRIF
12/13/2020 at 3:28:39 pm EST,Crewmate,Win,7,Yes,Yes,-,06m 12s,No,1,05m 53s,++,NA / GTJRIF
12/13/2020 at 3:20:11 pm EST,Crewmate,Win,4,No,No,-,08m 04s,No,1,-,++,NA / GTJRIF
12/13/2020 at 3:03:36 pm EST,Crewmate,Loss,9,No,Yes,-,05m 07s,No,0,04m 27s,---,NA / FDMAOF
12/13/2020 at 2:57:33 pm EST,Crewmate,Win,9,Yes,No,-,10m 38s,No,1,04m 13s,++,NA / FDMAOF
12/11/2020 at 4:15:06 pm EST,Crewmate,Win,8,Yes,No,-,19m 33s,No,3,09m 01s,++,Europe / BFRJCF
12/11/2020 at 3:49:31 pm EST,Crewmate,Loss,7,Yes,Yes,-,13m 15s,No,0,05m 35s,--,Europe / BFRJCF
12/11/2020 at 3:30:33 pm EST,Crewmate,Win,7,Yes,Yes,-,13m 16s,No,0,08m 01s,++,Europe / BFRJCF
12/11/2020 at 3:10:56 pm EST,Imposter,Loss,-,-,-,1,11m 00s,Yes,N/A,-,--,Europe / BFRJCF
12/11/2020 at 2:53:26 pm EST,Imposter,Loss,-,-,-,1,18m 01s,Yes,N/A,-,--,Europe / BFRJCF
12/11/2020 at 2:20:37 pm EST,Imposter,Win,-,-,-,2,14m 25s,No,N/A,-,+++,Europe / ONSJWQ
12/11/2020 at 2:04:24 pm EST,Crewmate,Win,7,Yes,No,-,16m 53s,No,2,05m 07s,++,Europe / ONSJWQ
12/11/2020 at 1:46:28 pm EST,Crewmate,Win,7,Yes,Yes,-,19m 25s,No,1,11m 44s,++,Europe / ONSJWQ
12/11/2020 at 1:07:37 pm EST,Crewmate,Win,7,Yes,Yes,-,08m 26s,No,1,04m 43s,++,NA / NNNSXQ
12/11/2020 at 12:57:31 pm EST,Crewmate,Win,7,Yes,Yes,-,12m 53s,No,0,04m 36s,++,NA / NNNSXQ
12/11/2020 at 12:42:59 pm EST,Crewmate,Win,7,Yes,No,-,12m 21s,No,1,04m 56s,++,NA / NNNSXQ
12/11/2020 at 12:28:35 pm EST,Crewmate,Loss,7,Yes,No,-,04m 54s,No,0,04m 40s,N/A,NA / NNNSXQ
12/11/2020 at 12:21:53 pm EST,Crewmate,Win,4,No,Yes,-,05m 06s,No,1,-,++,NA / NNNSXQ
