Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/13/2020 at 6:33:00 pm EST,Crewmate,Win,5,No,No,-,09m 01s,No,0,-,++,NA / GTJRIF
12/13/2020 at 6:10:23 pm EST,Crewmate,Loss,5,No,Yes,-,11m 26s,No,0,-,---,NA / GTJRIF
12/13/2020 at 5:54:36 pm EST,Crewmate,Win,7,Yes,Yes,-,18m 54s,No,0,09m 32s,++,NA / GTJRIF
12/13/2020 at 5:31:21 pm EST,Crewmate,Win,6,No,Yes,-,12m 22s,No,0,-,++,NA / GTJRIF
12/13/2020 at 5:15:25 pm EST,Crewmate,Loss,4,No,No,-,11m 18s,No,0,-,---,NA / GTJRIF
12/13/2020 at 5:01:42 pm EST,Crewmate,Win,5,No,Yes,-,14m 08s,No,0,-,++,NA / GTJRIF
12/13/2020 at 4:46:26 pm EST,Crewmate,Win,4,No,No,-,08m 12s,No,0,-,++,NA / GTJRIF
12/13/2020 at 4:33:54 pm EST,Crewmate,Loss,7,Yes,Yes,-,11m 03s,No,0,10m 44s,--,NA / GTJRIF
12/13/2020 at 4:20:15 pm EST,Crewmate,Win,2,No,No,-,05m 35s,No,0,-,++,NA / GTJRIF
12/13/2020 at 4:11:30 pm EST,Crewmate,Loss,7,Yes,No,-,13m 46s,No,0,13m 43s,--,NA / GTJRIF
12/13/2020 at 3:44:46 pm EST,Crewmate,Win,6,No,No,-,15m 04s,No,0,-,++,NA / GTJRIF
12/13/2020 at 3:28:39 pm EST,Imposter,Loss,-,-,-,1,06m 12s,No,N/A,-,--,NA / GTJRIF
12/13/2020 at 3:20:10 pm EST,Crewmate,Win,2,No,Yes,-,08m 03s,No,0,-,++,NA / GTJRIF
12/13/2020 at 3:03:36 pm EST,Crewmate,Loss,5,No,No,-,05m 07s,No,0,-,---,NA / FDMAOF
12/13/2020 at 2:57:32 pm EST,Crewmate,Win,8,Yes,No,-,10m 39s,No,0,04m 33s,++,NA / FDMAOF
12/13/2020 at 5:10:15 am EST,Imposter,Loss,-,-,-,5,20m 15s,No,N/A,-,-,NA / TLMVVF
12/13/2020 at 4:49:18 am EST,Crewmate,Loss,7,Yes,No,-,14m 56s,No,0,11m 43s,--,NA / TLMVVF
12/13/2020 at 4:33:06 am EST,Crewmate,Win,3,No,No,-,06m 48s,No,0,-,++,NA / TLMVVF
12/13/2020 at 4:21:11 am EST,Imposter,Win,-,-,-,1,09m 51s,No,N/A,-,+++,NA / TLMVVF
12/13/2020 at 2:56:23 am EST,Crewmate,Win,6,Yes,No,-,12m 29s,No,1,05m 18s,++,NA / GMRDVF
12/13/2020 at 2:42:54 am EST,Crewmate,Loss,2,No,Yes,-,07m 52s,No,0,-,---,NA / GMRDVF
12/11/2020 at 6:02:08 pm EST,Crewmate,Win,0,No,No,-,05m 24s,No,0,-,N/A,NA / LTRPDF
12/11/2020 at 5:41:04 pm EST,Crewmate,Win,0,No,No,-,02m 22s,No,0,-,N/A,NA / DYUQBF
12/11/2020 at 5:30:32 pm EST,Crewmate,Loss,0,No,No,-,05m 48s,No,1,-,N/A,NA / EFZTJF
12/11/2020 at 5:17:50 pm EST,Crewmate,Win,1,No,No,-,05m 57s,No,0,-,++,Europe / MCFLCF
12/11/2020 at 4:15:06 pm EST,Crewmate,Win,3,No,Yes,-,19m 34s,No,0,-,++,Europe / BFRJCF
