Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/13/2020 at 9:12:09 pm EST,Crewmate,Win,6,No,No,-,08m 20s,No,0,-,++,Europe / AHNVOF
12/13/2020 at 9:03:19 pm EST,Crewmate,Loss,7,Yes,Yes,-,19m 45s,No,1,05m 15s,--,Europe / AHNVOF
12/13/2020 at 8:42:41 pm EST,Crewmate,Win,3,No,No,-,05m 46s,No,0,-,++,Europe / AHNVOF
12/13/2020 at 8:21:45 pm EST,Crewmate,Win,4,No,No,-,02m 57s,No,0,-,N/A,NA / OJHLHF
12/13/2020 at 2:19:09 pm EST,Crewmate,Win,8,Yes,Yes,-,15m 26s,No,0,08m 40s,++,Europe / IWNVWQ
12/13/2020 at 2:02:26 pm EST,Crewmate,Win,1,No,No,-,04m 00s,No,0,-,N/A,Europe / IWNVWQ
12/12/2020 at 9:35:20 pm EST,Imposter,Loss,-,-,-,3,20m 04s,No,N/A,-,-,Europe / PBLKRQ
12/12/2020 at 8:39:38 pm EST,Imposter,Loss,-,-,-,4,22m 08s,No,N/A,-,-,Europe / PBLKRQ
12/12/2020 at 8:13:07 pm EST,Crewmate,Win,7,Yes,No,-,19m 22s,No,1,17m 35s,++,Europe / PBLKRQ
12/12/2020 at 7:52:55 pm EST,Crewmate,Loss,7,Yes,Yes,-,13m 49s,No,0,09m 17s,--,Europe / PBLKRQ
12/12/2020 at 7:38:10 pm EST,Crewmate,Win,7,Yes,Yes,-,17m 17s,No,0,09m 02s,++,Europe / PBLKRQ
12/12/2020 at 7:17:27 pm EST,Imposter,Win,-,-,-,1,12m 18s,No,N/A,-,+++,Europe / PBLKRQ
12/12/2020 at 7:03:28 pm EST,Imposter,Win,-,-,-,2,09m 49s,No,N/A,-,+++,Europe / PBLKRQ
12/12/2020 at 6:51:49 pm EST,Imposter,Loss,-,-,-,3,15m 05s,No,N/A,-,-,Europe / PBLKRQ
12/12/2020 at 6:33:18 pm EST,Imposter,Win,-,-,-,3,11m 08s,No,N/A,-,+++,Europe / PBLKRQ
