Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/17/2020 at 10:56:11 pm EST,Crewmate,Win,7,Yes,Yes,-,13m 39s,No,0,13m 03s,++,NA / SXJLBF
12/17/2020 at 10:40:43 pm EST,Imposter,Loss,-,-,-,3,22m 35s,No,N/A,-,-,NA / SXJLBF
12/17/2020 at 7:28:42 pm EST,Imposter,Win,-,-,-,3,12m 30s,No,N/A,-,+++,NA / SXJLBF
12/17/2020 at 7:06:55 pm EST,Crewmate,Win,5,No,No,-,09m 12s,No,1,-,++,NA / SXJLBF
12/17/2020 at 6:14:26 pm EST,Crewmate,Loss,0,No,Yes,-,08m 31s,No,1,-,N/A,NA / SXJLBF
12/17/2020 at 6:04:50 pm EST,Crewmate,Win,4,No,No,-,16m 02s,No,0,-,++,NA / SXJLBF
12/17/2020 at 5:46:12 pm EST,Crewmate,Loss,3,No,Yes,-,10m 27s,No,0,-,---,NA / SXJLBF
12/17/2020 at 5:31:59 pm EST,Crewmate,Win,5,No,No,-,07m 22s,Yes,0,-,++,NA / LKPTIF
12/17/2020 at 5:20:57 pm EST,Crewmate,Win,4,No,Yes,-,14m 49s,No,0,-,++,NA / LKPTIF
12/17/2020 at 4:55:26 pm EST,Imposter,Loss,-,-,-,2,16m 49s,No,N/A,-,-,NA / EGAACF
12/17/2020 at 4:36:23 pm EST,Imposter,Win,-,-,-,4,14m 55s,No,N/A,-,+++,NA / EGAACF
12/17/2020 at 4:18:52 pm EST,Crewmate,Loss,6,No,Yes,-,14m 22s,No,0,-,---,NA / EGAACF
12/17/2020 at 4:02:42 pm EST,Crewmate,Win,1,No,Yes,-,02m 23s,No,0,-,N/A,NA / SIKDOF
12/17/2020 at 3:59:00 pm EST,Crewmate,Win,0,No,Yes,-,02m 44s,No,0,-,N/A,NA / SIKDOF
12/17/2020 at 3:55:59 pm EST,Crewmate,Win,1,No,No,-,02m 55s,No,0,-,N/A,NA / SIKDOF
12/16/2020 at 2:39:02 pm EST,Crewmate,Loss,4,No,Yes,-,14m 00s,No,0,-,---,Europe / LZHLMF
12/16/2020 at 2:22:07 pm EST,Imposter,Win,-,-,-,3,09m 10s,No,N/A,-,+++,Europe / LZHLMF
12/16/2020 at 2:12:07 pm EST,Crewmate,Win,7,Yes,No,-,13m 25s,No,3,08m 49s,++,Europe / LZHLMF
12/16/2020 at 1:53:33 pm EST,Crewmate,Win,4,No,No,-,07m 40s,No,0,-,++,NA / NQWMJF
12/15/2020 at 5:44:03 pm EST,Imposter,Loss,-,-,-,3,13m 24s,No,N/A,-,-,NA / AWYBXQ
12/15/2020 at 3:58:18 pm EST,Crewmate,Loss,3,No,Yes,-,07m 46s,No,0,-,---,NA / IUFFVF
