Game Completed Date,Team,Outcome,Task Completed,All Tasks Completed,Murdered,Imposter Kills,Game Length,Ejected,Sabotages Fixed,Time to complete all tasks,Rank Change,Region/Game Code
12/27/2020 at 9:04:29 pm EST,Crewmate,Loss,1,No,No,-,13m 31s,No,0,-,---,Europe / HZJCWQ
12/27/2020 at 8:41:45 pm EST,Crewmate,Loss,1,No,Yes,-,15m 39s,No,0,-,---,Europe / HZJCWQ
12/27/2020 at 8:24:28 pm EST,Crewmate,Win,0,No,No,-,04m 17s,No,0,-,N/A,Europe / HZJCWQ
12/27/2020 at 8:16:18 pm EST,Crewmate,Win,2,No,No,-,08m 22s,No,0,-,++,Europe / HZJCWQ
12/27/2020 at 8:06:30 pm EST,Imposter,Loss,-,-,-,2,08m 40s,No,N/A,-,-,Europe / HZJCWQ
12/27/2020 at 7:55:20 pm EST,Crewmate,Loss,1,No,Yes,-,08m 43s,No,0,-,---,Europe / HZJCWQ
12/27/2020 at 7:42:35 pm EST,Imposter,Loss,-,-,-,1,06m 49s,No,N/A,-,--,Europe / HZJCWQ
12/27/2020 at 7:28:45 pm EST,Crewmate,Loss,0,No,Yes,-,08m 40s,No,0,-,N/A,Europe / HZJCWQ
12/27/2020 at 7:19:36 pm EST,Crewmate,Win,6,No,No,-,13m 13s,No,0,-,++,Europe / HZJCWQ
12/27/2020 at 7:01:30 pm EST,Crewmate,Loss,4,No,No,-,08m 31s,No,0,-,---,Europe / HZJCWQ
12/27/2020 at 6:47:45 pm EST,Crewmate,Win,0,No,No,-,00m 20s,No,0,-,N/A,Europe / HOEVQQ
12/04/2020 at 10:54:42 pm EST,Crewmate,Loss,7,Yes,Yes,-,18m 06s,No,1,09m 36s,--,NA / YDRIIF
12/04/2020 at 10:31:50 pm EST,Crewmate,Loss,4,No,No,-,14m 34s,No,2,-,---,NA / YDRIIF
12/04/2020 at 10:10:37 pm EST,Crewmate,Win,8,Yes,No,-,10m 48s,No,0,10m 48s,++,NA / CRQDGF
12/04/2020 at 9:58:18 pm EST,Imposter,Win,-,-,-,3,08m 34s,No,N/A,-,+++,NA / CRQDGF
12/04/2020 at 9:47:50 pm EST,Imposter,Loss,-,-,-,1,12m 15s,No,N/A,-,--,NA / CRQDGF
11/28/2020 at 2:40:58 pm EST,Imposter,Loss,-,-,-,3,18m 50s,No,N/A,-,-,Europe / DJCWJF
11/28/2020 at 2:17:58 pm EST,Crewmate,Loss,7,Yes,Yes,-,15m 09s,No,0,15m 08s,--,Europe / DJCWJF
11/28/2020 at 2:00:03 pm EST,Crewmate,Loss,7,Yes,No,-,14m 25s,No,0,07m 02s,--,Europe / DJCWJF
11/28/2020 at 1:43:49 pm EST,Crewmate,Win,6,No,No,-,18m 11s,No,1,-,++,Europe / DJCWJF
11/28/2020 at 1:21:42 pm EST,Crewmate,Loss,5,No,Yes,-,19m 29s,No,1,-,---,Europe / DJCWJF
11/28/2020 at 12:57:12 pm EST,Crewmate,Win,5,No,Yes,-,11m 44s,No,0,-,++,Europe / DJCWJF
11/28/2020 at 12:36:59 am EST,Crewmate,Win,5,No,No,-,08m 24s,No,0,-,++,Europe / OXLMSF
11/28/2020 at 12:25:53 am EST,Crewmate,Win,6,No,No,-,11m 02s,No,0,-,++,Europe / NSQIDF
11/27/2020 at 11:49:11 pm EST,Crewmate,Loss,7,Yes,No,-,13m 47s,No,3,13m 21s,--,Europe / NSQIDF
11/27/2020 at 11:31:30 pm EST,Crewmate,Win,7,Yes,No,-,19m 53s,Yes,1,16m 32s,++,Europe / NSQIDF
11/27/2020 at 11:05:51 pm EST,Crewmate,Win,7,Yes,No,-,13m 59s,No,1,13m 58s,++,Europe / NSQIDF
11/27/2020 at 10:48:41 pm EST,Crewmate,Win,5,No,No,-,25m 40s,No,0,-,++,Europe / NSQIDF
11/27/2020 at 10:20:36 pm EST,Imposter,Loss,-,-,-,4,13m 51s,Yes,N/A,-,-,Europe / JHDOOF
11/27/2020 at 10:04:41 pm EST,Crewmate,Win,2,No,No,-,08m 58s,No,1,-,++,Europe / JHDOOF
11/27/2020 at 6:44:27 pm EST,Crewmate,Win,7,Yes,No,-,18m 34s,No,0,18m 32s,++,Europe / CMESWQ
11/27/2020 at 6:21:04 pm EST,Crewmate,Loss,7,Yes,No,-,13m 54s,No,0,06m 14s,--,Europe / CMESWQ
11/27/2020 at 6:03:41 pm EST,Crewmate,Loss,5,No,Yes,-,16m 57s,No,0,-,---,Europe / CMESWQ
11/27/2020 at 5:43:52 pm EST,Crewmate,Win,7,Yes,No,-,19m 54s,No,1,19m 16s,++,Europe / CMESWQ
11/27/2020 at 5:19:40 pm EST,Crewmate,Win,7,Yes,No,-,14m 53s,No,2,12m 32s,++,Europe / CMESWQ
11/27/2020 at 5:03:43 pm EST,Crewmate,Win,7,Yes,Yes,-,14m 46s,No,1,10m 49s,++,Europe / CMESWQ
11/27/2020 at 4:45:06 pm EST,Crewmate,Win,6,No,Yes,-,17m 26s,No,2,-,++,Europe / CMESWQ
11/27/2020 at 4:22:35 pm EST,Crewmate,Loss,6,No,Yes,-,12m 08s,No,1,-,---,Europe / CMESWQ
11/27/2020 at 3:57:29 pm EST,Imposter,Win,-,-,-,4,13m 31s,No,N/A,-,+++,Europe / ACLNSF
11/27/2020 at 3:41:51 pm EST,Crewmate,Loss,1,No,No,-,06m 31s,No,0,-,---,Europe / RTJZNF
11/27/2020 at 3:34:54 pm EST,Crewmate,Win,0,No,No,-,04m 02s,No,0,-,N/A,Europe / RTJZNF
